Program,ExecutionTime,InputFile,TestNum
low.py,3.859,data/input0.txt,1
low.py,3.856,data/input0.txt,2
low.py,3.848,data/input0.txt,3
low.py,3.855,data/input0.txt,4
low.py,3.874,data/input0.txt,5
low.py,4.088,data/input0.txt,6
low.py,3.857,data/input0.txt,7
low.py,4.115,data/input0.txt,8
low.py,3.862,data/input0.txt,9
low.py,4.069,data/input0.txt,10
low.py,4.2,data/input1.txt,1
low.py,4.21,data/input1.txt,2
low.py,4.472,data/input1.txt,3
low.py,3.989,data/input1.txt,4
low.py,4.193,data/input1.txt,5
low.py,4.272,data/input1.txt,6
low.py,4.039,data/input1.txt,7
low.py,4.209,data/input1.txt,8
low.py,4.205,data/input1.txt,9
low.py,4.286,data/input1.txt,10
low.py,4.38,data/input2.txt,1
low.py,4.261,data/input2.txt,2
low.py,4.136,data/input2.txt,3
low.py,4.126,data/input2.txt,4
low.py,4.391,data/input2.txt,5
low.py,4.35,data/input2.txt,6
low.py,4.132,data/input2.txt,7
low.py,4.143,data/input2.txt,8
low.py,4.345,data/input2.txt,9
low.py,4.34,data/input2.txt,10
low.py,4.408,data/input3.txt,1
low.py,4.143,data/input3.txt,2
low.py,4.134,data/input3.txt,3
low.py,4.397,data/input3.txt,4
low.py,4.37,data/input3.txt,5
low.py,4.174,data/input3.txt,6
low.py,4.146,data/input3.txt,7
low.py,4.387,data/input3.txt,8
low.py,4.365,data/input3.txt,9
low.py,4.398,data/input3.txt,10
low.py,4.263,data/input4.txt,1
low.py,4.392,data/input4.txt,2
low.py,4.187,data/input4.txt,3
low.py,4.399,data/input4.txt,4
low.py,4.18,data/input4.txt,5
low.py,4.18,data/input4.txt,6
low.py,4.171,data/input4.txt,7
low.py,4.179,data/input4.txt,8
low.py,4.432,data/input4.txt,9
low.py,4.17,data/input4.txt,10
low.py,4.295,data/input5.txt,1
low.py,4.193,data/input5.txt,2
low.py,4.44,data/input5.txt,3
low.py,4.441,data/input5.txt,4
low.py,4.428,data/input5.txt,5
low.py,4.202,data/input5.txt,6
low.py,4.218,data/input5.txt,7
low.py,4.533,data/input5.txt,8
low.py,4.513,data/input5.txt,9
low.py,4.321,data/input5.txt,10
low.py,4.365,data/input6.txt,1
low.py,4.132,data/input6.txt,2
low.py,4.35,data/input6.txt,3
low.py,4.377,data/input6.txt,4
low.py,4.352,data/input6.txt,5
low.py,4.332,data/input6.txt,6
low.py,4.11,data/input6.txt,7
low.py,4.418,data/input6.txt,8
low.py,4.127,data/input6.txt,9
low.py,4.141,data/input6.txt,10
low.py,3.962,data/input7.txt,1
low.py,4.164,data/input7.txt,2
low.py,4.171,data/input7.txt,3
low.py,3.974,data/input7.txt,4
low.py,4.178,data/input7.txt,5
low.py,4.154,data/input7.txt,6
low.py,4.152,data/input7.txt,7
low.py,3.94,data/input7.txt,8
low.py,4.16,data/input7.txt,9
low.py,4.178,data/input7.txt,10
low.py,4.212,data/input8.txt,1
low.py,4.217,data/input8.txt,2
low.py,4.211,data/input8.txt,3
low.py,4.2,data/input8.txt,4
low.py,4.262,data/input8.txt,5
low.py,4.267,data/input8.txt,6
low.py,4.223,data/input8.txt,7
low.py,4.206,data/input8.txt,8
low.py,4.244,data/input8.txt,9
low.py,4.191,data/input8.txt,10
low.py,4.037,data/input9.txt,1
low.py,3.802,data/input9.txt,2
low.py,4.04,data/input9.txt,3
low.py,4.062,data/input9.txt,4
low.py,3.836,data/input9.txt,5
low.py,3.781,data/input9.txt,6
low.py,4.019,data/input9.txt,7
low.py,4.003,data/input9.txt,8
low.py,4.022,data/input9.txt,9
low.py,3.807,data/input9.txt,10
medium.py,4.731,data/input0.txt,1
medium.py,4.716,data/input0.txt,2
medium.py,4.49,data/input0.txt,3
medium.py,4.75,data/input0.txt,4
medium.py,4.511,data/input0.txt,5
medium.py,4.51,data/input0.txt,6
medium.py,4.713,data/input0.txt,7
medium.py,4.531,data/input0.txt,8
medium.py,4.776,data/input0.txt,9
medium.py,4.478,data/input0.txt,10
medium.py,4.748,data/input1.txt,1
medium.py,4.949,data/input1.txt,2
medium.py,4.963,data/input1.txt,3
medium.py,4.956,data/input1.txt,4
medium.py,4.736,data/input1.txt,5
medium.py,4.748,data/input1.txt,6
medium.py,4.761,data/input1.txt,7
medium.py,4.753,data/input1.txt,8
medium.py,4.973,data/input1.txt,9
medium.py,4.978,data/input1.txt,10
medium.py,5.274,data/input2.txt,1
medium.py,5.025,data/input2.txt,2
medium.py,5.012,data/input2.txt,3
medium.py,5.24,data/input2.txt,4
medium.py,5.257,data/input2.txt,5
medium.py,5.222,data/input2.txt,6
medium.py,5.221,data/input2.txt,7
medium.py,5.222,data/input2.txt,8
medium.py,5.243,data/input2.txt,9
medium.py,5.261,data/input2.txt,10
medium.py,5.31,data/input3.txt,1
medium.py,5.287,data/input3.txt,2
medium.py,5.116,data/input3.txt,3
medium.py,5.095,data/input3.txt,4
medium.py,5.291,data/input3.txt,5
medium.py,5.283,data/input3.txt,6
medium.py,5.058,data/input3.txt,7
medium.py,5.089,data/input3.txt,8
medium.py,5.279,data/input3.txt,9
medium.py,5.309,data/input3.txt,10
medium.py,5.11,data/input4.txt,1
medium.py,5.101,data/input4.txt,2
medium.py,5.348,data/input4.txt,3
medium.py,5.327,data/input4.txt,4
medium.py,5.329,data/input4.txt,5
medium.py,5.333,data/input4.txt,6
medium.py,5.308,data/input4.txt,7
medium.py,5.14,data/input4.txt,8
medium.py,5.324,data/input4.txt,9
medium.py,5.327,data/input4.txt,10
medium.py,5.402,data/input5.txt,1
medium.py,5.176,data/input5.txt,2
medium.py,5.393,data/input5.txt,3
medium.py,5.412,data/input5.txt,4
medium.py,5.451,data/input5.txt,5
medium.py,5.566,data/input5.txt,6
medium.py,5.399,data/input5.txt,7
medium.py,5.433,data/input5.txt,8
medium.py,5.175,data/input5.txt,9
medium.py,5.206,data/input5.txt,10
medium.py,5.281,data/input6.txt,1
medium.py,5.252,data/input6.txt,2
medium.py,5.036,data/input6.txt,3
medium.py,5.013,data/input6.txt,4
medium.py,5.258,data/input6.txt,5
medium.py,5.26,data/input6.txt,6
medium.py,6.416,data/input6.txt,7
medium.py,5.045,data/input6.txt,8
medium.py,5.271,data/input6.txt,9
medium.py,6.128,data/input6.txt,10
medium.py,4.877,data/input7.txt,1
medium.py,4.647,data/input7.txt,2
medium.py,4.689,data/input7.txt,3
medium.py,4.912,data/input7.txt,4
medium.py,4.927,data/input7.txt,5
medium.py,4.906,data/input7.txt,6
medium.py,4.673,data/input7.txt,7
medium.py,4.923,data/input7.txt,8
medium.py,4.68,data/input7.txt,9
medium.py,4.877,data/input7.txt,10
medium.py,4.953,data/input8.txt,1
medium.py,4.747,data/input8.txt,2
medium.py,4.772,data/input8.txt,3
medium.py,4.753,data/input8.txt,4
medium.py,4.76,data/input8.txt,5
medium.py,4.781,data/input8.txt,6
medium.py,4.828,data/input8.txt,7
medium.py,4.992,data/input8.txt,8
medium.py,5.059,data/input8.txt,9
medium.py,5.117,data/input8.txt,10
medium.py,4.712,data/input9.txt,1
medium.py,4.476,data/input9.txt,2
medium.py,4.634,data/input9.txt,3
medium.py,4.637,data/input9.txt,4
medium.py,4.651,data/input9.txt,5
medium.py,4.687,data/input9.txt,6
medium.py,4.68,data/input9.txt,7
medium.py,4.635,data/input9.txt,8
medium.py,4.689,data/input9.txt,9
medium.py,4.656,data/input9.txt,10
high.py,7.567,data/input0.txt,1
high.py,7.485,data/input0.txt,2
high.py,7.471,data/input0.txt,3
high.py,7.422,data/input0.txt,4
high.py,7.213,data/input0.txt,5
high.py,7.252,data/input0.txt,6
high.py,7.452,data/input0.txt,7
high.py,7.218,data/input0.txt,8
high.py,7.462,data/input0.txt,9
high.py,7.223,data/input0.txt,10
high.py,8.429,data/input1.txt,1
high.py,8.187,data/input1.txt,2
high.py,8.424,data/input1.txt,3
high.py,8.22,data/input1.txt,4
high.py,8.217,data/input1.txt,5
high.py,8.401,data/input1.txt,6
high.py,8.417,data/input1.txt,7
high.py,8.414,data/input1.txt,8
high.py,8.604,data/input1.txt,9
high.py,8.24,data/input1.txt,10
high.py,9.358,data/input2.txt,1
high.py,9.16,data/input2.txt,2
high.py,9.36,data/input2.txt,3
high.py,9.58,data/input2.txt,4
high.py,9.354,data/input2.txt,5
high.py,9.389,data/input2.txt,6
high.py,9.131,data/input2.txt,7
high.py,9.35,data/input2.txt,8
high.py,9.189,data/input2.txt,9
high.py,9.365,data/input2.txt,10
high.py,9.52,data/input3.txt,1
high.py,9.255,data/input3.txt,2
high.py,9.494,data/input3.txt,3
high.py,9.502,data/input3.txt,4
high.py,9.281,data/input3.txt,5
high.py,9.535,data/input3.txt,6
high.py,9.482,data/input3.txt,7
high.py,9.511,data/input3.txt,8
high.py,9.493,data/input3.txt,9
high.py,9.497,data/input3.txt,10
high.py,9.454,data/input4.txt,1
high.py,9.689,data/input4.txt,2
high.py,9.722,data/input4.txt,3
high.py,9.731,data/input4.txt,4
high.py,9.464,data/input4.txt,5
high.py,9.49,data/input4.txt,6
high.py,9.607,data/input4.txt,7
high.py,9.827,data/input4.txt,8
high.py,9.835,data/input4.txt,9
high.py,9.845,data/input4.txt,10
high.py,10.008,data/input5.txt,1
high.py,10.024,data/input5.txt,2
high.py,9.992,data/input5.txt,3
high.py,10.028,data/input5.txt,4
high.py,10.015,data/input5.txt,5
high.py,10.025,data/input5.txt,6
high.py,9.822,data/input5.txt,7
high.py,10.015,data/input5.txt,8
high.py,9.993,data/input5.txt,9
high.py,10.043,data/input5.txt,10
high.py,9.41,data/input6.txt,1
high.py,9.173,data/input6.txt,2
high.py,9.433,data/input6.txt,3
high.py,9.421,data/input6.txt,4
high.py,9.402,data/input6.txt,5
high.py,9.437,data/input6.txt,6
high.py,9.396,data/input6.txt,7
high.py,9.493,data/input6.txt,8
high.py,9.412,data/input6.txt,9
high.py,9.188,data/input6.txt,10
high.py,8.125,data/input7.txt,1
high.py,7.884,data/input7.txt,2
high.py,7.869,data/input7.txt,3
high.py,7.898,data/input7.txt,4
high.py,8.082,data/input7.txt,5
high.py,8.086,data/input7.txt,6
high.py,7.865,data/input7.txt,7
high.py,7.863,data/input7.txt,8
high.py,8.109,data/input7.txt,9
high.py,8.099,data/input7.txt,10
high.py,8.386,data/input8.txt,1
high.py,8.359,data/input8.txt,2
high.py,8.228,data/input8.txt,3
high.py,8.146,data/input8.txt,4
high.py,8.236,data/input8.txt,5
high.py,8.154,data/input8.txt,6
high.py,8.421,data/input8.txt,7
high.py,8.466,data/input8.txt,8
high.py,8.473,data/input8.txt,9
high.py,8.362,data/input8.txt,10
high.py,7.354,data/input9.txt,1
high.py,7.287,data/input9.txt,2
high.py,7.295,data/input9.txt,3
high.py,7.237,data/input9.txt,4
high.py,7.012,data/input9.txt,5
high.py,6.955,data/input9.txt,6
high.py,7.217,data/input9.txt,7
high.py,7.176,data/input9.txt,8
high.py,6.949,data/input9.txt,9
high.py,7.191,data/input9.txt,10
