time,actual_carbon,forecast_carbon,actual_reqs,forecast_reqs
2023-01-28T00:00Z,242,247,10,10
2023-01-28T00:30Z,243,246,13,13
2023-01-28T01:00Z,243,249,18,19
2023-01-28T01:30Z,242,246,22,23
2023-01-28T02:00Z,240,246,30,31
2023-01-28T02:30Z,242,246,37,36
2023-01-28T03:00Z,241,248,43,43
2023-01-28T03:30Z,240,247,41,41
2023-01-28T04:00Z,242,250,47,49
2023-01-28T04:30Z,238,248,52,50
2023-01-28T05:00Z,241,252,56,58
2023-01-28T05:30Z,245,254,67,68
2023-01-28T06:00Z,250,258,71,67
2023-01-28T06:30Z,256,254,77,76
2023-01-28T07:00Z,269,261,90,89
2023-01-28T07:30Z,270,266,95,94
2023-01-28T08:00Z,270,269,97,94
2023-01-28T08:30Z,273,269,98,95
2023-01-28T09:00Z,262,267,90,92
2023-01-28T09:30Z,262,271,69,73
2023-01-28T10:00Z,255,265,77,79
2023-01-28T10:30Z,254,264,69,71
2023-01-28T11:00Z,255,257,58,60
2023-01-28T11:30Z,256,252,54,52
2023-01-28T12:00Z,256,260,56,54
2023-01-28T12:30Z,254,262,53,54
2023-01-28T13:00Z,255,263,58,57
2023-01-28T13:30Z,255,261,62,63
2023-01-28T14:00Z,263,258,83,80
2023-01-28T14:30Z,266,256,82,82
2023-01-28T15:00Z,268,263,90,92
2023-01-28T15:30Z,270,272,95,97
2023-01-28T16:00Z,266,271,101,100
2023-01-28T16:30Z,259,271,97,99
2023-01-28T17:00Z,251,274,81,80
2023-01-28T17:30Z,250,264,77,74
2023-01-28T18:00Z,252,257,68,69
2023-01-28T18:30Z,252,254,55,57
2023-01-28T19:00Z,262,256,53,50
2023-01-28T19:30Z,256,254,39,39
2023-01-28T20:00Z,265,264,29,31
2023-01-28T20:30Z,259,256,23,25
2023-01-28T21:00Z,256,255,22,23
2023-01-28T21:30Z,242,246,21,21
2023-01-28T22:00Z,223,250,18,18
2023-01-28T22:30Z,210,236,16,16
2023-01-28T23:00Z,176,219,13,13
2023-01-28T23:30Z,164,203,11,11
